id,name,address,longitude,latitude,district,brand_type,subway_count,bus_count,restaurant_count,competitor_count
B0FFF5VOG5,星巴克(丽园路店),蒙自路169号(马当路地铁站3号口步行260米),121.477659,31.206688,黄浦区,国际连锁,1,9,18,26
B0FFF3AFCV,星巴克(8号桥一期8号楼店),建国中路8-10号1楼,121.471328,31.21073,黄浦区,国际连锁,0,6,14,31
B0J1SCYZ4M,CARINO BAKERY&CAFE(上海来福士广场店),西藏中路268号上海来福士广场B1层B1-17,121.476562,31.232425,黄浦区,独立/精品,1,18,38,74
B0JABZUXUY,雾雨咖啡店,云南北路18号,121.475288,31.236793,黄浦区,独立/精品,1,17,44,51
B0H6SYW4VL,欢迎到南方Coffee(黄浦店),淮海东路45-47号东淮海国际大厦咖啡店,121.482318,31.226328,黄浦区,独立/精品,1,12,34,32
B0L6TZ2SSS,Grayfleece,巨鹿路427号,121.457186,31.221898,黄浦区,独立/精品,0,7,43,43
B0FFM4VUCR,Manner Coffee(仙乐斯广场店),南京西路388号仙乐斯广场L1层,121.468924,31.231458,黄浦区,本土连锁,0,11,28,40
B0FFF61IAO,星巴克(永新广场店),南京西路128号永新广场1F,121.472262,31.23399,黄浦区,国际连锁,1,15,40,61
B0FFF00P4E,WOLFPACK,"福建南路1号(延安东路路口,人行天桥底下)",121.483525,31.230688,黄浦区,独立/精品,1,13,44,37
B0HRVRZELA,ONIRII COFFEE NOMI BAR,长乐路366弄-1蓝色门头,121.462087,31.221203,黄浦区,独立/精品,1,7,38,55
B0I1L4G399,一咖啡,黄陂南路373号,121.475366,31.220461,黄浦区,独立/精品,2,27,30,65
B0H1RXFOLX,RADAR COFFEE咖啡(思南路店),思南路27号(淮海中路地铁站1号口步行230米),121.466386,31.218507,黄浦区,独立/精品,1,6,24,57
B0FFL645J5,石藤咖啡(人民广场店),威海路12弄2-44号江阴小区,121.470765,31.228401,黄浦区,独立/精品,0,15,16,30
B0FFJ14ZKT,瑞幸咖啡(歌斐中心店),蒙自路757号上海歌斐中心一层102A1单元,121.482222,31.197793,黄浦区,本土连锁,1,6,18,28
B0FFF00PLH,星巴克六合路店,南京东路800号B14-F01-1-015单元,121.477072,31.234663,黄浦区,国际连锁,1,19,34,69
B0L1CM5PKV,luckin coffee 瑞幸咖啡(恒基名人购物中心店),南京东路300号恒基名人购物中心3楼L314,121.48401,31.238057,黄浦区,本土连锁,1,17,41,48
B0K3F4I9GN,luckin coffee 瑞幸咖啡(雅居乐国际广场店),南京东路830号第一百货商业中心B馆F2层,121.473588,31.236142,黄浦区,本土连锁,1,16,39,50
B0G31C017M,叁叁coffee,瑞金一路179号(淮海中路地铁站3号口步行130米),121.463762,31.219735,黄浦区,独立/精品,1,7,34,52
B0LGPZ7NBT,瑞幸咖啡,永嘉路5号后门旁,121.465449,31.211523,黄浦区,本土连锁,0,6,15,28
B0JKAMKUF1,瑞幸咖啡(绿地海外滩店),龙华东路810号黄浦绿地缤纷城一层2-106号,121.473543,31.193627,黄浦区,本土连锁,0,6,6,9
B0LGD7J4DJ,Geographer地理学家咖啡(牯岭路店),西藏中路525号雅居乐国际广场,121.473117,31.236335,黄浦区,独立/精品,1,12,41,47
B0H1U90GRH,M Stand(日月光中心泰康区店),徐家汇路618号日月光中心1F-TK03B(打浦桥地铁1号口),121.468523,31.207386,黄浦区,本土连锁,1,6,25,39
B0HU5UORW4,M Stand(香港广场购物中心南区店),香港广场南座SL1-01,121.475044,31.222618,黄浦区,本土连锁,1,29,32,57
B0LUN99VYS,星巴克悦荟,南京东路299号2楼S-215单元,121.483986,31.236542,黄浦区,国际连锁,1,20,42,56
B0GKGRABSU,蓝屋咖啡,"局门路468号八号桥创意园2期(近工商银行,瞿溪路)",121.482165,31.202695,黄浦区,独立/精品,0,8,13,17
B0J6Y5190P,M Stand(上海K11购物艺术中心),淮海中路300号上海k11购物艺术中心B2层B209,121.473923,31.22352,黄浦区,本土连锁,1,28,31,40
B0KUSRVZDV,STAGE DOOR日咖夜酒(人广店),广西北路240号(人民广场地铁站14号口步行230米),121.477934,31.233137,黄浦区,独立/精品,1,22,40,81
B0LA3S8XB7,诚物玩味,延安东路447至451号商铺,121.478781,31.228575,黄浦区,独立/精品,1,21,45,44
B0FFMCZOKN,Manner Coffee(外滩SOHO店),中山东二路88号外滩SOHO C座B1层,121.494484,31.229988,黄浦区,本土连锁,0,19,36,20
B0H236RGG5,M Stand(宏伊国际广场店),南京东路299号宏伊国际广场一层S-110B/111单元(一楼中庭扶梯旁),121.484692,31.236901,黄浦区,本土连锁,1,17,46,48
B0JG4MAVFK,do cafe,苗江路678号上海当代艺术博物馆1楼东侧,121.498762,31.200573,黄浦区,独立/精品,0,4,1,2
B0I3XL5X2X,BeanStar比星咖啡(上海凯德晶萃广场店),徐家汇路268号B2层优衣库对面比星咖啡,121.476785,31.210079,黄浦区,本土连锁,1,8,23,26
B0J35UULYV,Manner Coffee(外滩中心店),延安东路222号外滩中心F1层,121.486706,31.232742,黄浦区,本土连锁,0,16,59,31
B0FFGD0QWA,梵高艺术咖啡馆·Van Gogh SENSES Cafe(明天广场店),南京西路389号明天广场F2层,121.470094,31.230243,黄浦区,独立/精品,0,11,22,41
B0JDZYB7W6,瑞幸咖啡(湖滨道店),湖滨路150号湖滨道购物中心负二层E08室,121.479114,31.220761,黄浦区,本土连锁,1,20,27,41
B0JAF7JWSP,星巴克(上海海潮路店),海潮路133号地下一层(南浦大桥地铁站3号口步行130米),121.49899,31.209278,黄浦区,国际连锁,1,5,3,5
B0JG2XHI0V,瑞幸咖啡(中福城店),汉口路692号中福城B座一层,121.477216,31.233735,黄浦区,本土连锁,1,18,37,78
B0J2HHH5CO,石藤咖啡酤酒铺,南京东路353号(上海悦荟)1楼115商铺,121.483904,31.236394,黄浦区,独立/精品,1,21,44,59
B0H3Z9GC3S,星巴克上海博荟广场店,中山南一路788号地上第一层L1-16单元,121.479881,31.19717,黄浦区,国际连锁,1,8,16,26
B0J2J7Y2QX,外滩咖啡(星腾大厦店),河南南路1号一楼,121.487122,31.23061,黄浦区,独立/精品,1,11,36,17
B0JULKCISP,越南中原传奇咖啡Trung Nguyen Legend(博荟店),中山南一路788号博荟广场ONE EASTF1层L1-17-A,121.480018,31.197284,黄浦区,独立/精品,1,8,16,27
B0FFKSCT97,瑞幸咖啡(鸿祥大厦店),黄河路21号鸿祥大厦一层102室,121.471008,31.233594,黄浦区,本土连锁,1,14,39,52
B0J3MHGRS8,晶吉一泓咖啡馆(天津路店),天津路66号1F102(南京东路地铁站6号口步行100米),121.484903,31.238871,黄浦区,独立/精品,1,15,43,54
B0FFJDGPIQ,星巴克(浦汇大厦店),福州路318号浦汇大厦1层,121.484411,31.234607,黄浦区,国际连锁,1,18,57,62
B0HKDC1L6D,瑞幸咖啡(宏伊国际店),南京东路299号宏伊国际广场B1层(南京东路地铁站出入口旁),121.484458,31.236938,黄浦区,本土连锁,1,18,46,49
